Firm	Plan Type	Account Size	Drawdown Type	Activation Fee	Profit Target	Max Drawdown	Max Contract	Consistency Rule Eval, Funded	Payout Freq.	Profit Split	Price	Promo CODE	Account Category	Min Trading Days	Daily Drawdown	News Trading	List Price	Discount %	Price Note
Legends Trading	Apprentice	100k	EOD	$129	$6,000	$3,000	4 / 40	None / 35%	Weekly (7 days of +$200)	90%	$53.50	KAGE	Challenge	None	None	none			
Legends Trading	Apprentice	150k	EOD	$149	$9,000	$4,500	6 / 60	None / 35%	Weekly (7 days of +$200)	90%	$69	KAGE	Challenge	None	None	none			
Legends Trading	Elite	25k	EOD	None	$1,500	$1,250	2 / 20	40% / 40%	Weekly (5 winning days $100+)	90%	$95.20	KAGE	Challenge	None	None	none			
Legends Trading	Elite	50k	EOD	None	$2,700	$2,200	4 / 40	40% / 40%	Weekly (5 winning days $150+)	90%	$120.80	KAGE	Challenge	None	None	none			
Legends Trading	Elite	100k	EOD	None	$6,000	$3,000	8 / 80	40% / 40%	Weekly (5 winning days $200+)	90%	$181.60	KAGE	Challenge	None	None	none			
Legends Trading	Elite	150k	EOD	None	$9,000	$4,500	12 / 120	40% / 40%	Weekly (5 winning days $250+)	90%	$277.60	KAGE	Challenge	None	None	none			
Phidias Propfirm	Express to Live	25k	Static	$83	$1,500	$500	2 / 20	None	LIVE after bonus payout (cash→live)	80%	$44	KAGE	S2F	None	None	none			
Phidias Propfirm	Express to Live	50k	Static	$149	$2,500	$650	5 / 50	None	LIVE after bonus payout (cash→live)	80%	$139	KAGE	S2F	None	None	none			
Phidias Propfirm	Express to Live	100k	Static	$149	$3,500	$800	7 / 70	None	LIVE after bonus payout (cash→live)	80%	$159	KAGE	S2F	None	None	none			
Phidias Propfirm	Express to Live	150k	Static	$169	$4,500	$1,000	9 / 90	None	LIVE after bonus payout (cash→live)	80%	$199	KAGE	S2F	None	None	none			
Phidias Propfirm	Fundamental	50k	EOD	$149	$4,000	$2,500	10 / 100	None / 30%	10 trading days (funded); min payout $500	80%	$65.60	KAGE	Challenge	None	None	none			
Phidias Propfirm	Fundamental	100k	EOD	$149	$6,000	$3,000	14 / 140	None / 30%	10 trading days (funded); min payout $500	80%	$109.20	KAGE	Challenge	None	None	none			
Phidias Propfirm	Fundamental	150k	EOD	$169	$9,000	$4,500	17 / 170	None / 30%	10 trading days (funded); min payout $500	80%	$168	KAGE	Challenge	None	None	none			
Phidias Propfirm	Premium	50k	EOD	$149	$4,000	$2,500	10 / 100	None / 30%	5 trading days (funded); min payout $500	75%→100% progressive	$131.60	KAGE	Challenge	None	None	none			
Phidias Propfirm	Premium	100k	EOD	$149	$6,000	$3,000	14 / 140	None / 30%	5 trading days (funded); min payout $500	75%→100% progressive	$164.40	KAGE	Challenge	None	None	none			
Phidias Propfirm	Premium	150k	EOD	$169	$9,000	$4,500	17 / 170	None / 30%	5 trading days (funded); min payout $500	75%→100% progressive	$285	KAGE	Challenge	None	None	none			
E8 Futures	Signature	25k	EOD	None	$1,500	$1,000	2	None / 35% (35% best day rule on sim funded (performance accounts) only)	5 Winning days of 0.3%+ (N/A first payout)	80%	$82.50	KAGE	Challenge	None	None	both			
E8 Futures	Signature	50k	EOD	None	$3,000	$2,000	4	None / 35% (35% best day rule on sim funded (performance accounts) only)	3 Days	80%	$112.50	KAGE	Challenge	None	None	both			
E8 Futures	Signature	100k	EOD	None	$6,000	$4,000	8	None / 35% (35% best day rule on sim funded (performance accounts) only)	3 Days	80%	$195	KAGE	Challenge	None	None	both			
E8 Futures	Signature	150k	EOD	None	$9,000	$6,000	12	None / 35% (35% best day rule on sim funded (performance accounts) only)	3 Days	80%	$292.50	KAGE	Challenge	None	None	both			
E8 Futures	Daily Trailing (max $1,000)	50k	EOD	None	$3,000	$1,500	4	40%	Daily · min $100	80%	$106.80	KAGE	Challenge	None	None	both			
E8 Futures	Daily Trailing (max $3,000)	50k	EOD	None	$3,000	$1,500	4	40%	Daily · min $100	80%	$196.80	KAGE	Challenge	None	None	both			
E8 Futures	Daily Trailing (max $1,600)	100k	Trailing	None	$6,500	$3,000	8	40%	Daily · min $100	80%	$166.80	KAGE	Challenge	None	None	both			
E8 Futures	Daily Trailing (max $5,000)	100k	Trailing	None	$6,500	$3,000	8	40%	Daily · min $100	80%	$352.80	KAGE	Challenge	None	None	both			
E8 Futures	Daily Static (max $2,100)	200k	Static	None	$13,500	$6,000	12	40%	Daily · min $100	80%	$334.80	KAGE	Challenge	None	None	both			
E8 Futures	Daily Static (max $7,000)	200k	Static	None	$13,500	$6,000	12	40%	Daily · min $100	80%	$652.80	KAGE	Challenge	None	None	both			
Nexgen ProTrader Funding	Evaluation	25k	EOD	$119	$1,250	$1,750	5 / 5	None / 30%	8 trading days (funded)	90% → 100% after 16 payouts	$14.90	KAGE	Challenge	None	None	none			
Nexgen ProTrader Funding	Evaluation	50k	EOD	$129	$2,750	$2,250	10 / 10	None / 30%	8 trading days (funded)	90% → 100% after 16 payouts	$24.90	KAGE	Challenge	None	None	none			
Nexgen ProTrader Funding	Evaluation	75k	EOD	$159	$4,250	$2,750	12 / 12	None / 30%	8 trading days (funded)	90% → 100% after 16 payouts	$29.90	KAGE	Challenge	None	None	none			
Nexgen ProTrader Funding	Evaluation	100k	EOD	$179	$5,500	$3,300	14 / 14	None / 30%	8 trading days (funded)	90% → 100% after 16 payouts	$31.90	KAGE	Challenge	None	None	none			
Nexgen ProTrader Funding	Evaluation	150k	EOD	$199	$8,500	$4,800	17 / 17	None / 30%	8 trading days (funded)	90% → 100% after 16 payouts	$39.90	KAGE	Challenge	None	None	none			
Nexgen ProTrader Funding	Instant	25k	EOD	None	— (Instant)	$1,750	5 / 5	None / 30%	7 days min to payout	90% → 100% after 16 payouts	$149.50	KAGE	S2F	None	None	none			
Nexgen ProTrader Funding	Instant	50k	EOD	None	— (Instant)	$2,250	10 / 10	None / 30%	7 days min to payout	90% → 100% after 16 payouts	$199.50	KAGE	S2F	None	None	none			
Nexgen ProTrader Funding	Instant	75k	EOD	None	— (Instant)	$2,750	12 / 12	None / 30%	7 days min to payout	90% → 100% after 16 payouts	$249.50	KAGE	S2F	None	None	none			
Nexgen ProTrader Funding	Instant	100k	EOD	None	— (Instant)	$3,300	14 / 14	None / 30%	7 days min to payout	90% → 100% after 16 payouts	$299.50	KAGE	S2F	None	None	none			
Nexgen ProTrader Funding	Instant	150k	EOD	None	— (Instant)	$4,800	17 / 17	None / 30%	7 days min to payout	90% → 100% after 16 payouts	$399.50	KAGE	S2F	None	None	none			
Bulenox	Option 1 (No Scaling)	25k	Intraday	$143 (Master one-time)	$1,500	$1,500 (TDA)	3	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,000; reserve $1,600)	100% first $10k, then 90%	$145	KAGE	Challenge	None	None	none			
Bulenox	Option 2 (EOD/Scaling/DLL)	25k	EOD	$143 (Master one-time)	$1,500	$1,500 (TDA)	3 (scaling: $0–$1.5k→2; $1.5k+→3)	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,000; reserve $1,600)	100% first $10k, then 90%	$145	KAGE	Challenge	None	None	none			
Bulenox	Option 1 (No Scaling)	50k	Intraday	$148 (Master one-time)	$3,000	$2,500 (TDA)	7	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,500; reserve $2,600)	100% first $10k, then 90%	$125	KAGE	Challenge	None	None	none			
Bulenox	Option 2 (EOD/Scaling/DLL)	50k	EOD	$148 (Master one-time)	$3,000	$2,500 (TDA)	7 (scaling: ≤$1.5k→2; $1.5–4k→4; $4k+→7)	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,500; reserve $2,600)	100% first $10k, then 90%	$125	KAGE	Challenge	None	None	none			
Bulenox	Option 1 (No Scaling)	100k	Intraday	$248 (Master one-time)	$6,000	$3,000 (TDA)	12	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,750; reserve $3,100)	100% first $10k, then 90%	$155	KAGE	Challenge	None	None	none			
Bulenox	Option 2 (EOD/Scaling/DLL)	100k	EOD	$248 (Master one-time)	$6,000	$3,000 (TDA)	12 (scaling: ≤$2k→3; $2–3k→5; $3–5k→8; $5k+→12)	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $1,750; reserve $3,100)	100% first $10k, then 90%	$155	KAGE	Challenge	None	None	none			
Bulenox	Option 1 (No Scaling)	150k	Intraday	$498 (Master one-time)	$9,000	$4,500 (TDA)	15	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $2,000; reserve $4,600)	100% first $10k, then 90%	$325	KAGE	Challenge	None	None	none			
Bulenox	Option 2 (EOD/Scaling/DLL)	150k	EOD	$498 (Master one-time)	$9,000	$4,500 (TDA)	15 (scaling: ≤$4k→5; $4–8k→8; $8–12k→10; $12k+→15)	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $2,000; reserve $4,600)	100% first $10k, then 90%	$325	KAGE	Challenge	None	None	none			
Bulenox	Option 1 (No Scaling)	250k	Intraday	$898 (Master one-time)	$15,000	$5,500 (TDA)	25	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $2,500; reserve $5,600)	100% first $10k, then 90%	$535	KAGE	Challenge	None	None	none			
Bulenox	Option 2 (EOD/Scaling/DLL)	250k	EOD	$898 (Master one-time)	$15,000	$5,500 (TDA)	25 (scaling: ≤$5k→6; $5–12k→12; $12–20k→18; $20k+→25)	None / 40% (Master)	10 days (Weekly Wed; 1st–3rd cap $2,500; reserve $5,600)	100% first $10k, then 90%	$535	KAGE	Challenge	None	None	none			
Purdia	Pro	100k	Intraday (trailing)	$130	$6,000	$3,000	10 (100 micros)	None / None	10 days (then Daily LFA; 5 profitable ≥$200; SFA→LFA $3,000)	90%	$199 (monthly)	KAGE	Challenge	None	None	none			
Purdia	EOD	50k	EOD (DLL $1,000)	$130	$3,000	$2,000	10 (100 micros)	None / None	10 days (then Daily LFA; 5 profitable ≥$200; SFA→LFA $2,000)	70%	$179 (monthly)	KAGE	Challenge	None	None	none			
Purdia	EOD	100k	EOD (DLL $2,000)	$130	$6,000	$3,000	10 (100 micros)	None / None	10 days (then Daily LFA; 5 profitable ≥$200; SFA→LFA $3,000)	70%	$299 (monthly)	KAGE	Challenge	None	None	none			
Purdia	Instant	25k	EOD	None	$1,000 (SFA→LFA)	$750	2	None / None	10 days (then Daily LFA; 5 profitable ≥$125; first payout $1,000)	90%	$349 (one-time)	KAGE	S2F	None	None	none			
Purdia	Instant	50k	EOD	None	$2,000 (SFA→LFA)	$1,500	5	None / None	10 days (then Daily LFA; 5 profitable ≥$200; first payout $1,000)	90%	$549 (one-time)	KAGE	S2F	None	None	none			
Purdia	Instant	100k	EOD	None	$3,000 (SFA→LFA)	$3,000	10	None / None	10 days (then Daily LFA; 5 profitable ≥$200; first payout $1,000)	90%	$849 (one-time)	KAGE	S2F	None	None	none			
YRM	Challenge	25k	EOD (trailing)	$0	$1,500	$1,000	2 (20 micros)	50% / 35%	6 days (caps 1st→4th+: $1,000 / $1,500 / $2,500 / $3,500+)	90%	$69	KAGE	Challenge	None	None	none	$99	30	
YRM	Challenge	50k	EOD (trailing)	$0	$3,000	$2,000	5 (50 micros)	50% / 35%	6 days (caps 1st→4th+: $1,500 / $2,000 / $2,500 / $4,000+)	90%	$92	KAGE	Challenge	None	None	none	$132	30	
YRM	Challenge	100k	EOD (trailing)	$0	$6,000	$3,000	10 (100 micros)	50% / 35%	6 days (caps 1st→4th+: $2,000 / $2,500 / $3,000 / $5,000+)	90%	$162	KAGE	Challenge	None	None	none	$232	30	
YRM	Challenge	150k	EOD (trailing)	$0	$9,000	$4,500	15 (150 micros)	50% / 35%	6 days (caps 1st→4th+: $2,500 / $3,000 / $3,500 / $6,000+)	90%	$209	KAGE	Challenge	None	None	none	$298	30	
DayTraders	S2L	50k	Intraday (trailing)	None	$3,000	$2,000	2 (20 micros)	25% / None	8 days (min day $200)	80%	$179	KAGE	Challenge	None	None	both	$329	46	
DayTraders	S2L	150k	Intraday (trailing)	None	$8,500	$4,500	3 (30 micros)	25% / None	8 days (min day $300)	80%	$319	KAGE	Challenge	None	None	both	$469	32	
DayTraders	S2L	300k	Intraday (trailing)	None	$15,000	$7,000	4 (40 micros)	25% / None	8 days (min day $400)	80%	$449	KAGE	Challenge	None	None	both	$599	25	
DayTraders	Trailing	25k	Intraday (trailing)	$99	$1,500	$1,500	6 (60 micros)	50% / 30%	8 days (min day $100; max payout $1,000)	100%	$37.35	KAGE	Challenge	None	None	both	$249	85	
DayTraders	Trailing 2K	50k	Intraday (trailing)	$99	$3,000	$2,000	10 (100 micros)	50% / 30%	8 days (min day $200; max payout $2,000)	100%	$70.35	KAGE	Challenge	None	None	both	$469	85	
DayTraders	Trailing 2.5K	50k	Intraday (trailing)	$99	$3,000	$2,500	10 (100 micros)	50% / 30%	8 days (min day $200; max payout $2,000)	100%	$56.85	KAGE	Challenge	None	None	both	$379	85	
DayTraders	Trailing	150k	Intraday (trailing)	$99	$8,500	$4,500	24 (240 micros)	50% / 30%	8 days (min day $300; max payout $3,500)	100%	$104.85	KAGE	Challenge	None	None	both	$699	85	
DayTraders	Trailing	300k	Intraday (trailing)	$99	$15,000	$7,000	40 (400 micros)	50% / 30%	8 days (min day $400; max payout $5,000)	100%	$131.85	KAGE	Challenge	None	None	both	$879	85	
DayTraders	EOD	25k	EOD (trailing)	$99	$1,500	$1,500	6 (60 micros)	50% / 30%	8 days (min day $100; max payout $1,000)	100%	$46.35	KAGE	Challenge	None	None	both	$309	85	
DayTraders	EOD	150k	EOD (trailing)	$99	$8,500	$4,000	24 (240 micros)	50% / 30%	8 days (min day $300; max payout $3,500)	100%	$134.85	KAGE	Challenge	None	None	both	$899	85	
DayTraders	EOD	300k	EOD (trailing)	$99	$15,000	$6,500	40 (400 micros)	50% / 30%	8 days (min day $400; max payout $5,000)	100%	$239.85	KAGE	Challenge	None	None	both	$1,599	85	
DayTraders	Static	25k	Static	$99	$2,500	$750	4 (40 micros)	50% / 30%	8 days (min day $100; max payout $1,000)	100%	$30	KAGE	Challenge	None	None	both	$150	80	
DayTraders	Static	50k	Static	$99	$3,750	$1,000	6 (60 micros)	50% / 30%	8 days (min day $200; max payout $2,000)	100%	$40	KAGE	Challenge	None	None	both	$200	80	
DayTraders	Static	100k	Static	$99	$5,750	$1,500	8 (80 micros)	50% / 30%	8 days (min day $300; max payout $3,500)	100%	$65	KAGE	Challenge	None	None	both	$325	80	
DayTraders	Static	150k	Static	$99	$6,750	$1,750	8 (80 micros)	50% / 30%	8 days (min day $300; max payout $3,500)	100%	$80	KAGE	Challenge	None	None	both	$400	80	
DayTraders	S2F (Instant)	25k	EOD (trailing)	None	None	$1,000	2 (20 micros)	None / 20%	8 days (min day $100; max payout $1,000)	100%	$222	KAGE	S2F	None	None	both	$370	40	
DayTraders	S2F (Instant)	50k	EOD (trailing)	None	None	$2,500	10 (100 micros)	None / 20%	8 days (min day $200; max payout $2,000)	100%	$342	KAGE	S2F	None	None	both	$570	40	
DayTraders	S2F (Instant)	150k	EOD (trailing)	None	None	$6,000	24 (240 micros)	None / 20%	8 days (min day $300; max payout $3,000)	100%	$495	KAGE	S2F	None	None	both	$825	40	
FundedNext	Legacy	25k	EOD	None	$1,250	$1,000	2 (20 micros)	40% / None	5 days (Weekly; bench ≥$100; 50% profits max $3,000 before 30 days; 100% after)	80%	$71.99	KAGE	Challenge	None	None	both	$79.99	10	
FundedNext	Legacy	50k	EOD	None	$3,000	$2,000	3 (30 micros)	40% / None	5 days (Weekly; bench ≥$200; 50% profits max $6,000 before 30 days; 100% after)	80%	$179.99	KAGE	Challenge	None	None	both	$199.99	10	
